iso3,country_name,income_tier,mean_brightness,total_light,p90_brightness,lit_fraction,light_density,spatial_dispersion,hotspot_count,gini,entropy,urban_concentration
SRB,Serbia,Upper-Middle,0.03941851481795311,161.45823669433594,0.09863628447055817,0.326171875,0.11903008818626404,0.30496324846405776,97,0.71346759834812,3.747304194629657,0.32329094409942627
SUR,Suriname,Upper-Middle,0.002156390342861414,8.832574844360352,0.0,0.017822265625,0.11852264404296875,0.21938951301487605,4,0.8856740518244546,2.9864281814537943,0.45901480317115784
THA,Thailand,Upper-Middle,0.026125304400920868,107.00924682617188,0.059503231197595596,0.263671875,0.097747802734375,0.32005815100586255,73,0.6891040580437795,3.393955801045347,0.3522317111492157
TKM,Turkmenistan,Upper-Middle,0.008026281371712685,32.875648498535156,0.001311269705183804,0.058837890625,0.13311444222927094,0.32813563896162307,24,0.85164072633565,3.57243300819225,0.38538458943367004
TUR,Turkey,Upper-Middle,0.04093435779213905,167.66712951660156,0.08876317739486694,0.41796875,0.09568601101636887,0.35044014691925396,131,0.7265634940434933,3.304408210218476,0.38913193345069885
VEN,Venezuela,Upper-Middle,0.006998663768172264,28.666526794433594,0.002011032309383154,0.0517578125,0.12971438467502594,0.2521630399546491,22,0.8994674826134932,3.270060039076781,0.3971642255783081
ZAF,South Africa,Upper-Middle,0.014232661575078964,58.29698181152344,0.016320032998919487,0.12548828125,0.1091533750295639,0.33725498535978776,36,0.8422675035493556,3.327641349034026,0.40249863266944885
ARE,United Arab Emirates,High,0.0230245403945446,94.30851745605469,0.03662508726119995,0.157470703125,0.14414003491401672,0.2893499544486394,32,0.7579965577151337,3.853028566787719,0.3114622235298157
AUS,Australia,High,0.007250888738781214,29.69964027404785,0.0018291003070771694,0.051513671875,0.13519755005836487,0.3905547810362442,22,0.9093305524185822,3.1790574183093208,0.38511762022972107
AUT,Austria,High,0.031825631856918335,130.3577880859375,0.07579806447029114,0.291015625,0.1072486862540245,0.34070876729451816,83,0.7283039570585177,3.552830033748086,0.3402189612388611
BEL,Belgium,High,0.058924708515405655,241.35560607910156,0.1568678915500641,0.47314453125,0.1237514317035675,0.30359936592638825,62,0.6121936254051898,3.8727625970690776,0.28448811173439026
BHS,Bahamas,High,0.0032275808043777943,13.220170974731445,0.0,0.017333984375,0.1831236034631729,0.417287760636825,3,0.8097514005721873,3.419300078655258,0.29587286710739136
BRN,Brunei,High,0.01855761557817459,76.01199340820312,0.014708461239933968,0.11328125,0.16076163947582245,0.24747681984277758,9,0.8141756590707045,3.956671010576435,0.2930455505847931
CAN,Canada,High,0.1850786954164505,758.0823364257812,0.5766494274139404,0.509033203125,0.36323148012161255,0.3291548177227544,44,0.42739727724916365,5.218375773612581,0.11085512489080429
CHE,Switzerland,High,0.04322681576013565,177.05703735351562,0.11990125477313995,0.327392578125,0.13052065670490265,0.3156082031305258,89,0.7009535723166058,3.9469761968972388,0.30033203959465027
CHL,Chile,High,0.008913302794098854,36.508888244628906,0.002074019517749548,0.069091796875,0.126164972782135,0.2913600709470401,27,0.8382487591837664,3.4809009429032822,0.37467852234840393
